ID,Name,Age,CustomerSince,HighestSpend,ZipCode,HiddenScore,MonthlyAverageSpend,Level,Address,Email,Phone,DateOfBirth,AccountType,Balance,LoanAmount,Income
1,Norma Fisher,72,2020,5841,81816,717,8440.25,2,"71844 Sabrina Hills, Lake Juan, WV 94812",justin04@example.org,1234567890,15-02-1969,Business,14757.48,9123.74,99155.06
2,Jorge Sullivan,42,2018,46208,73026,568,1097.54,3,"02530 Flores Via, Roberttown, AK 39226",fisherdeborah@example.com,1234567891,11-11-2000,Business,43735.19,25565.73,24775.22
3,Elizabeth Woods,66,2020,33112,25421,332,5987.72,5,"4992 Turner Bridge, West Darrylview, WV 44086",cwright@example.net,1234567892,13-10-1961,Savings,15416.16,17935.56,84716.1
4,Susan Wagner,74,2016,41501,92215,636,5099.09,1,"175 Black Harbors, South Dustin, CT 23850",gibsonjulia@example.com,1234567893,01-05-1998,Savings,11476.78,11971.73,83137.75
5,Peter Montgomery,44,2020,42938,86437,529,6367.47,2,"3465 Tricia Flats, West Linda, WA 74754",amyharvey@example.net,1234567894,15-05-1953,Business,7419.79,29383.46,45515.72
6,Theodore Mcgrath,20,2016,21851,12072,771,7392.52,3,"578 Maureen Forest, West Kathryn, PR 80950",edwardsangela@example.com,1234567895,11-09-1963,Business,47062.62,5531.42,46195.04
7,Stephanie Collins,34,2012,39603,13219,392,7566.01,2,"9255 Keller Unions Suite 019, Atkinsfort, OH 05672",phillipselizabeth@example.com,1234567896,05-08-1960,Savings,48124.41,26074.56,29053.61
8,Stephanie Sutton,50,2014,23972,35826,763,3346.76,4,"36308 Newman Estate Suite 390, Port Chelsea, AL 11494",michael76@example.com,1234567897,27-10-1979,Checking,27325.94,1123.68,56087.3
9,Brian Hamilton,49,2016,29263,89678,427,9869.38,5,"1715 Ray Stravenue, Calderonmouth, OK 60062",fking@example.net,1234567898,17-06-1997,Savings,36373.02,4579.16,131364.73
10,Susan Levy,43,2017,7171,55313,641,2700.64,1,"838 Megan Expressway, New Robinville, NY 70217",lbrown@example.com,1234567899,03-10-1961,Checking,28632.88,13770.64,69554.62
11,Sean Green,68,2014,49944,17319,514,7976.94,2,"4783 Robles Field, South Matthew, AZ 71072",amanda75@example.org,1234567900,18-11-1961,Checking,19087.42,22288.47,133653.04
12,Kimberly Smith,71,2018,8886,33567,448,9645.25,1,"7264 Suzanne Port, Alisonborough, NH 97271",hickskaitlyn@example.org,1234567901,15-01-1954,Business,25201.05,15454.84,97315.55
13,Jennifer Summers,37,2010,45973,78748,368,7424.59,4,"Unit 0101 Box 2750, DPO AP 27845",armstrongkelly@example.net,1234567902,31-10-1949,Checking,2870.56,12804.87,124679.95
14,April Snyder,48,2012,2042,84983,648,9745.7,1,"3021 Annette Curve, Lake Kennethmouth, DE 18907",heatherjames@example.net,1234567903,22-09-1979,Savings,14796.81,26297.71,147337.49
15,Dana Nguyen,40,2017,11049,97653,346,7991.86,3,"4943 Eduardo Route, Danielhaven, ND 47267",yphillips@example.org,1234567904,19-04-1984,Checking,40232.95,2267.69,33847.11
16,Cheryl Bradley,55,2012,35913,68931,587,1312.77,4,"673 Aaron Street Apt. 929, Eileenside, DE 18563",nelliott@example.net,1234567905,21-01-1966,Savings,6918,24372.88,112820.98
17,Walter Pratt,75,2011,38050,88257,333,8391.93,1,"977 Thomas Island Apt. 181, Mooreville, CT 33052",ktaylor@example.com,1234567906,27-11-1957,Business,10668.59,20637.02,70289.35
18,Bobby Flores,31,2020,25047,19642,369,2305.08,2,"Unit 7639 Box 6032, DPO AP 20872",mullinskelly@example.org,1234567907,16-01-1953,Savings,2783.98,12285.1,48469.58
19,Tasha Rodriguez,50,2011,16862,78234,306,3167.91,4,"95152 Schmitt Hill, South Jessica, MT 02457",gcurry@example.net,1234567908,18-08-2002,Business,20214.04,2006.58,49964.36
20,Michelle Kelley,26,2017,2602,52011,504,1569.34,5,"57826 Hays Turnpike Apt. 151, Albertland, OH 76828",christopher75@example.org,1234567909,20-07-1962,Savings,37275.7,27147.24,144916.2
21,Kimberly Maynard,36,2023,6187,51858,507,7852.65,5,"223 Liu Pike Suite 646, Thomasstad, NY 49257",christianhunter@example.net,1234567910,14-09-2000,Savings,15665.92,8830.29,27329.5
22,Laurie Wallace,26,2021,37680,75656,406,808.93,3,"865 Katie Flats Apt. 160, Lisafort, NV 59129",manuel06@example.com,1234567911,15-12-1987,Savings,46353.84,25313.06,37268.22
23,Janice Johnston,66,2014,7761,96198,429,7012.57,3,"9533 April Camp, Dalefort, MS 12945",kayla31@example.com,1234567912,02-11-1953,Business,16614.17,17967.01,32389.34
24,Collin Lopez,24,2021,44144,56905,382,4429.24,4,"9168 Meyers Crest, South Lindabury, WY 43409",wilkersonmaria@example.com,1234567913,27-11-1970,Business,15916.36,10408.39,55967.93
25,Mary Alvarez,57,2022,21132,54804,361,872.41,2,"527 Holland Crest Apt. 592, Kaitlinton, IA 54397",lisa13@example.com,1234567914,20-12-2000,Checking,13504.27,3011.99,40828
